Year,Value
1997,74.37
1998,86.92
1999,87.93
2000,99.25
2001,99.94
2002,93.04
2003,86.87
2004,80.5
2005,98.01
2006,84.01
2007,100.32
2008,99.1
2009,72.95
2010,77.66
2011,99.02
2012,113.39
2013,106.18
2014,110.19
2015,124.59
2016,141.81
2017,170.5
2018,168.96
2019,174.78
2020,163.34
2021,123.07
2022,134.5
2023,139.13
