Country,Year,Value
Germany,2010,61.116778
United States,2010,67.835887
United Kingdom,2009,55.533851
Italy,2009,51.485627
Germany,2009,59.739676
Japan,2011,43.713823
United States,2011,67.86187
United Kingdom,2011,57.032645
France,2012,63.316137
United Kingdom,2012,56.684977
United States,2016,69.256659
Spain,2016,52.006193
Canada,2016,51.579956
Italy,2016,53.057615
Italy,2014,53.189636
Japan,2014,45.259761
France,2014,64.791079
Germany,2015,64.376152
France,2015,65.316731
Spain,2015,51.769513
Canada,2015,51.234357
Spain,2013,51.203041
Canada,2013,49.910705
Japan,2013,45.179653
Germany,2018,66.549287
United States,2018,70.664702
France,2020,67.617447
United Kingdom,2020,60.309119
United Kingdom,2017,58.806296
Italy,2017,53.399887
Germany,2017,66.411797
Japan,2019,47.335577
United States,2019,71.520554
United Kingdom,2019,59.200826
Japan,2022,48.055719
United Kingdom,1970,23.197066
Spain,1970,19.456437
United States,1970,33.708826
Japan,1970,13.913013
United States,1971,34.972937
Canada,1971,29.269246
Germany,1974,29.947238
Italy,1975,30.761906
Japan,1975,17.943132
United States,1979,39.131168
France,1979,34.864781
Spain,1979,29.079613
Canada,1979,34.121059
Japan,1976,18.365817
Germany,1976,32.522757
United Kingdom,1978,29.704685
United States,1978,38.956695
France,1978,33.831663
Japan,1978,19.797496
Germany,1982,37.192097
Spain,1982,33.182275
Canada,1982,34.95985
Italy,1981,37.930318
Germany,1981,36.81123
United States,1981,40.047014
France,1981,36.265538
Japan,1984,23.93548
Germany,1984,39.426925
Spain,1988,39.921613
Canada,1988,37.281976
Italy,1988,43.041769
United Kingdom,1988,37.833841
Japan,1988,28.492223
Japan,1983,23.145117
Italy,1983,38.111703
Spain,1980,30.841905
Canada,1980,34.027801
United Kingdom,1980,30.933263
United Kingdom,1985,35.618712
United Kingdom,1986,36.556916
Japan,1986,25.862897
United States,1986,43.599936
France,1986,43.080524
United States,1987,43.916782
France,1987,43.50535
Spain,1987,39.226531
Canada,1987,36.928036
Italy,1989,44.572499
Germany,1989,44.060484
United States,1989,44.815883
France,1989,46.511042
Japan,1994,33.941482
United States,1994,48.354938
France,1994,50.872095
United Kingdom,1994,43.588757
Italy,1991,45.022633
United Kingdom,1992,41.061457
Germany,1992,48.408308
Germany,1990,45.617388
Spain,1990,40.609767
Canada,1990,37.329579
Japan,1993,33.492015
United States,1995,48.461331
France,1995,52.137055
Spain,1995,44.707089
Canada,1995,40.473261
Spain,1996,45.202211
Canada,1996,40.384258
Italy,1996,49.964089
Japan,1996,35.880452
Italy,1997,50.886196
Germany,1997,53.53631
France,1997,53.577234
France,2003,60.280773
Spain,2003,45.239819
Canada,2003,45.774403
Germany,1998,54.081496
United States,1998,51.519575
Spain,1998,44.913991
