country,year,value
Japan,1975,111.672
Japan,1976,112.6025
Japan,1977,112.6915
Japan,1978,111.8726
Japan,1979,111.9804
Japan,1980,115.3502
Japan,1981,116.7368
Japan,1982,121.0359
Japan,1983,126.479
Japan,1984,129.0432
Japan,1985,130.66879
Japan,1986,136.3269
Japan,1987,146.9081
Japan,1988,154.68291
Japan,1989,161.08659
Japan,1990,164.8316
Japan,1991,166.7149
Japan,1992,170.4713
Japan,1993,174.5656
Japan,1994,174.9615
Japan,1995,173.7999
Japan,1996,172.44679
Japan,1997,178.9252
Japan,1998,188.6687
Japan,1999,192.10091
Japan,2000,186.5078
Japan,2001,185.0056
Japan,2002,183.65559
Japan,2003,181.04871
Japan,2004,175.9913
Japan,2005,172.0533
Japan,2006,170.5574
Japan,2007,164.161
Japan,2008,163.6597
Japan,2009,168.213
Japan,2010,161.3488
Japan,2011,160.55521
Japan,2012,158.3116
Japan,2013,158.6088
Japan,2014,161.119
Japan,2015,159.34959
Japan,2016,161.19
Japan,2017,163.64191
Spain,1960,
Spain,1961,
Spain,1962,
Spain,1963,
Spain,1964,
Spain,1965,
Spain,1966,
Spain,1967,
Spain,1968,
Spain,1969,
Spain,1970,
Spain,1971,
Spain,1972,65.204147
Spain,1973,63.683781
Spain,1974,65.471321
Spain,1975,69.928413
Spain,1976,72.02359
Spain,1977,70.494293
Spain,1978,67.044006
Spain,1979,65.650627
Spain,1980,66.409187
Spain,1981,69.630577
Spain,1982,71.691231
Spain,1983,70.336342
Spain,1984,65.906158
Spain,1985,62.73196
Spain,1986,60.67968
Spain,1987,61.738239
Spain,1988,66.1884
Spain,1989,71.339043
Spain,1990,73.134689
Spain,1991,73.936996
Spain,1992,74.820923
Spain,1993,74.246986
Spain,1994,70.772537
Spain,1995,68.559677
Spain,1996,68.94838
Spain,1997,71.380997
Spain,1998,76.987862
Spain,1999,84.49337
Spain,2000,90.130859
Spain,2001,94.248169
Spain,2002,94.116982
Spain,2003,99.340477
Spain,2004,107.3885
Spain,2005,120.9509
Spain,2006,140.68781
Spain,2007,155.4832
Spain,2008,167.259
Spain,2009,173.1463
Spain,2010,170.23151
Spain,2011,169.2524
Spain,2012,163.7404
Spain,2013,151.5836
Spain,2014,136.5519
Spain,2015,121.4493
Spain,2016,111.5538
Spain,2017,104.9456
United Kingdom,1960,17.108431
United Kingdom,1961,16.89027
United Kingdom,1962,17.1845
United Kingdom,1963,17.905161
United Kingdom,1964,19.235519
United Kingdom,1965,19.97167
United Kingdom,1966,19.474319
United Kingdom,1967,19.07789
United Kingdom,1968,18.92009
United Kingdom,1969,18.84915
United Kingdom,1970,18.57453
United Kingdom,1971,19.451229
United Kingdom,1972,23.42267
United Kingdom,1973,29.02688
United Kingdom,1974,32.8871
United Kingdom,1975,29.45229
United Kingdom,1976,25.65926
United Kingdom,1977,25.325319
United Kingdom,1978,24.09951
United Kingdom,1979,23.91267
United Kingdom,1980,24.68609
United Kingdom,1981,27.41608
United Kingdom,1982,31.366791
United Kingdom,1983,34.120129
United Kingdom,1984,38.428551
United Kingdom,1985,41.628361
United Kingdom,1986,58.894829
United Kingdom,1987,76.532127
United Kingdom,1988,82.62532
United Kingdom,1989,92.971977
United Kingdom,1990,100.5666
United Kingdom,1991,101.5584
United Kingdom,1992,100.543
United Kingdom,1993,98.474739
United Kingdom,1994,97.614273
United Kingdom,1995,93.12162
United Kingdom,1996,96.416748
United Kingdom,1997,99.271217
United Kingdom,1998,100.2992
United Kingdom,1999,102.3566
United Kingdom,2000,107.5646
United Kingdom,2001,116.1119
United Kingdom,2002,120.3499
United Kingdom,2003,123.8123
United Kingdom,2004,130.38811
United Kingdom,2005,136.7738
United Kingdom,2006,144.7384
United Kingdom,2007,157.77161
United Kingdom,2008,179.7666
United Kingdom,2009,195.146
United Kingdom,2010,186.7238
United Kingdom,2011,176.8271
United Kingdom,2012,164.5687
United Kingdom,2013,153.7233
United Kingdom,2014,140.7619
United Kingdom,2015,132.47771
United Kingdom,2016,130.06689
United Kingdom,2017,131.7041
United States,1960,70.339706
United States,1961,71.688843
United States,1962,72.82711
United States,1963,75.84864
United States,1964,78.852287
United States,1965,81.387192
United States,1966,81.306847
United States,1967,82.854362
United States,1968,83.85421
United States,1969,84.1548
United States,1970,85.010162
United States,1971,85.762016
United States,1972,89.108711
United States,1973,90.276367
United States,1974,90.31517
United States,1975,87.53904
United States,1976,85.471687
United States,1977,85.949532
United States,1978,85.893402
United States,1979,87.772743
United States,1980,90.798424
United States,1981,87.338203
United States,1982,89.683502
United States,1983,90.626427
United States,1984,92.030922
United States,1985,96.852676
United States,1986,103.6555
United States,1987,108.5316
United States,1988,108.9544
United States,1989,111.7376
United States,1990,113.3464
United States,1991,115.1248
United States,1992,115.3911
United States,1993,116.8168
United States,1994,117.039
United States,1995,122.957
United States,1996,131.008
United States,1997,138.5018
United States,1998,148.57339
United States,1999,160.394
United States,2000,162.9342
United States,2001,165.5127
United States,2002,164.0334
United States,2003,165.7569
United States,2004,174.67931
United States,2005,179.53011
United States,2006,185.7429
United States,2007,193.16451
United States,2008,195.6553
United States,2009,189.43961
United States,2010,181.5732
United States,2011,176.90041
United States,2012,172.592
United States,2013,177.5715
United States,2014,182.22659
United States,2015,178.8844
United States,2016,178.8896
United States,2017,183.13409
