sector,value
Production,19.5
"Distribution, transport, hotels and restaurants",18.9
" Government, health and education",15.6
 Real estate,14.2
 Professional and support,9.6
 Financial and insurance,6.6
 Information and communication,6.1
Construction,5.8
Other services ,2.8
Agriculture,0.9
