country,year,real_interest_rate,GFCF
United Kingdom,2002,1.8382407,18.352596
United Kingdom,2003,1.2725658,17.938719
United Kingdom,2004,1.7147911,17.774265
United Kingdom,2005,1.6644887,17.995079
United Kingdom,2006,1.8012275,18.384037
United Kingdom,2007,3.1844625,18.644962
United Kingdom,2008,1.2301624,17.594252
United Kingdom,2009,-1.2231148,14.96589
United Kingdom,2010,-1.0668453,16.176216
United Kingdom,2011,-1.6529975,15.929543
United Kingdom,2012,-1.0230607,16.060196
United Kingdom,2013,-1.5835395,16.560204
United Kingdom,2014,-.8071419,17.71772
United States,1970,2.5149181,21.414736
United States,1971,.62199205,21.919819
United States,1972,.88396519,22.580622
United States,1973,2.409694,23.331808
United States,1974,1.6510659,22.694942
United States,1975,-1.2815806,20.277475
United States,1976,1.2667904,22.038399
United States,1977,.57510102,23.52627
United States,1978,1.8898082,24.831785
United States,1979,4.0343895,25.11113
United States,1980,5.716363,23.31027
United States,1981,8.5946007,24.276865
United States,1982,8.1772079,22.070084
United States,1983,6.6180353,22.252987
United States,1984,8.1409063,25.095818
United States,1985,6.5632439,24.188339
United States,1986,6.1938696,23.740625
United States,1987,5.5875201,23.620232
United States,1988,5.5903025,22.827808
United States,1989,6.6902647,22.5138
United States,1990,6.0397496,21.529213
United States,1991,4.9152961,20.110605
United States,1992,3.884295,20.077581
United States,1993,3.5456321,20.393627
United States,1994,4.8985415,21.279097
United States,1995,6.5942178,21.27265
United States,1996,6.324286,21.701815
United States,1997,6.6033473,22.409716
United States,1998,7.1499453,22.958336
United States,1999,6.4872675,23.419134
United States,2000,6.8137922,23.678366
United States,2001,4.5671391,22.176722
United States,2002,3.0732472,21.72266
United States,2003,2.1065946,21.745628
United States,2004,1.6076804,22.652145
United States,2005,2.9608753,23.375719
United States,2006,4.7278638,23.537531
United States,2007,5.1998639,22.557575
United States,2008,3.1010423,21.037489
United States,2009,2.6170776,17.768753
United States,2010,2.0102825,18.672213
United States,2011,1.1628987,19.033539
United States,2012,1.3624637,19.950726
United States,2013,1.5222133,20.379265
United States,2014,1.4825613,20.901194
United States,2015,2.3105147,21.41519
United States,2016,2.5372324,20.887957
United States,2017,2.2652965,21.155769
United States,2018,2.55475,21.569073
United States,2019,3.5444975,21.687117
United States,2020,2.1945665,21.408022
United States,2021,-1.2762333,21.374195
