Region,Value
North East,2.36887
North West,8.62944
Yorkshire and the Humber,6.68359
East Midlands,3.5533
West Midlands,5.66836
East,5.58376
London,38.83249
South East,10.15228
South West,6.42978
Wales,3.21489
Scotland,7.2758
Northern Ireland,1.60745
