Date,Value
31 Dec 03,691.90
30 Nov 03,684.94
31 Oct 03,677.41
30 Sep 03,668.90
31 Aug 03,661.95
31 Jul 03,656.17
30 Jun 03,648.93
31 May 03,642.45
30 Apr 03,635.91
31 Mar 03,630.58
28 Feb 03,624.39
31 Jan 03,618.14
31 Dec 02,611.67
30 Nov 02,605.63
31 Oct 02,598.55
30 Sep 02,591.91
31 Aug 02,585.92
31 Jul 02,579.77
30 Jun 02,574.08
31 May 02,568.29
30 Apr 02,562.20
31 Mar 02,556.73
28 Feb 02,551.54
31 Jan 02,546.44
31 Dec 01,541.98
30 Nov 01,537.53
31 Oct 01,533.36
30 Sep 01,529.30
31 Aug 01,525.01
31 Jul 01,520.83
30 Jun 01,516.70
31 May 01,512.84
30 Apr 01,509.20
31 Mar 01,505.40
28 Feb 01,501.64
31 Jan 01,498.26
31 Dec 00,494.96
30 Nov 00,485.37
31 Oct 00,482.44
30 Sep 00,479.76
31 Aug 00,477.21
31 Jul 00,474.57
30 Jun 00,472.06
31 May 00,468.76
30 Apr 00,466.11
31 Mar 00,463.00
29 Feb 00,459.69
31 Jan 00,456.87
31 Dec 99,453.77
30 Nov 99,450.89
31 Oct 99,447.95
30 Sep 99,444.65
31 Aug 99,441.54
31 Jul 99,438.73
30 Jun 99,435.81
31 May 99,433.04
30 Apr 99,430.36
31 Mar 99,428.23
28 Feb 99,425.70
31 Jan 99,423.50
31 Dec 98,421.41
30 Nov 98,419.35
31 Oct 98,417.57
30 Sep 98,414.64
31 Aug 98,412.93
31 Jul 98,411.02
30 Jun 98,409.09
31 May 98,407.30
30 Apr 98,405.59
31 Mar 98,403.68
28 Feb 98,402.15
31 Jan 98,400.27
31 Dec 97,398.51
30 Nov 97,396.84
31 Oct 97,395.09
30 Sep 97,393.36
31 Aug 97,392.60
31 Jul 97,390.80
30 Jun 97,389.79
31 May 97,387.88
30 Apr 97,385.96
31 Mar 97,384.63
28 Feb 97,382.70
31 Jan 97,380.80
31 Dec 96,379.02
30 Nov 96,376.81
31 Oct 96,374.89
30 Sep 96,373.04
31 Aug 96,371.21
31 Jul 96,369.67
30 Jun 96,368.06
31 May 96,366.18
30 Apr 96,364.64
31 Mar 96,363.25
29 Feb 96,361.79
31 Jan 96,360.41
31 Dec 95,359.03
30 Nov 95,357.65
31 Oct 95,356.43
30 Sep 95,355.54
31 Aug 95,353.90
31 Jul 95,353.07
30 Jun 95,352.00
31 May 95,350.64
30 Apr 95,349.41
31 Mar 95,347.96
28 Feb 95,346.61
31 Jan 95,345.11
31 Dec 94,343.62
30 Nov 94,342.17
31 Oct 94,340.73
30 Sep 94,339.18
31 Aug 94,337.73
31 Jul 94,336.16
30 Jun 94,334.27
31 May 94,332.80
30 Apr 94,331.28
31 Mar 94,329.55
28 Feb 94,327.88
31 Jan 94,326.38
31 Dec 93,324.81
30 Nov 93,323.22
31 Oct 93,321.74
30 Sep 93,320.12
31 Aug 93,318.47
31 Jul 93,317.03
30 Jun 93,315.58
31 May 93,314.23
30 Apr 93,312.72
,
